report_date,ad_set_id,ad_set_name,spend,impressions,clicks
07/20/2024,201,Prospecting - Broad,868.13,106022.0,2010
07/21/2024,201,Prospecting - Broad,606.27,96787.0,998
07/22/2024,201,Prospecting - Broad,531.39,66900.0,1764
07/23/2024,201,Prospecting - Broad,802.61,128643.0,4471
07/24/2024,201,Prospecting - Broad,713.84,139100.0,5062
07/25/2024,201,Prospecting - Broad,513.12,98438.0,1219
07/26/2024,201,Prospecting - Broad,562.34,107841.0,1812
07/27/2024,201,Prospecting - Broad,785.2,128760.0,1956
07/28/2024,201,Prospecting - Broad,621.22,72758.0,1902
07/29/2024,201,Prospecting - Broad,629.15,90800.0,1187
07/30/2024,201,Prospecting - Broad,585.82,76333.0,1323
07/31/2024,201,Prospecting - Broad,541.83,55231.0,1076
08/01/2024,201,Prospecting - Broad,741.82,109876.0,3171
08/02/2024,201,Prospecting - Broad,679.64,93981.0,3517
08/03/2024,201,Prospecting - Broad,548.02,75698.0,1604
08/04/2024,201,Prospecting - Broad,788.59,129174.0,2624
08/05/2024,201,Prospecting - Broad,611.02,92619.0,996
08/06/2024,201,Prospecting - Broad,505.85,63164.0,1441
08/07/2024,201,Prospecting - Broad,742.69,75903.0,3017
08/08/2024,201,Prospecting - Broad,670.85,68259.0,1163
08/09/2024,201,Prospecting - Broad,624.6,86196.0,2197
08/10/2024,201,Prospecting - Broad,829.13,107924.0,2278
08/11/2024,201,Prospecting - Broad,635.71,104244.0,4009
08/12/2024,201,Prospecting - Broad,648.72,96005.0,2102
08/13/2024,201,Prospecting - Broad,801.33,141036.0,4510
08/14/2024,201,Prospecting - Broad,783.23,130210.0,2469
08/15/2024,201,Prospecting - Broad,621.13,84199.0,1079
08/16/2024,201,Prospecting - Broad,612.0,118042.0,2952
08/17/2024,201,Prospecting - Broad,875.69,126163.0,2755
08/18/2024,201,Prospecting - Broad,598.13,68020.0,2200
08/19/2024,201,Prospecting - Broad,836.91,133248.0,3491
08/20/2024,201,Prospecting - Broad,682.05,97270.0,2646
08/21/2024,201,Prospecting - Broad,592.33,70575.0,1391
08/22/2024,201,Prospecting - Broad,696.8,82047.0,1703
08/23/2024,201,Prospecting - Broad,885.41,99231.0,3828
08/24/2024,201,Prospecting - Broad,769.06,151366.0,5697
08/25/2024,201,Prospecting - Broad,659.82,,1864
08/26/2024,201,Prospecting - Broad,894.59,96354.0,2083
08/27/2024,201,Prospecting - Broad,827.74,142155.0,3817
08/28/2024,201,Prospecting - Broad,695.31,76845.0,2992
08/29/2024,201,Prospecting - Broad,702.89,123276.0,2770
08/30/2024,201,Prospecting - Broad,684.74,113064.0,2411
08/31/2024,201,Prospecting - Broad,515.0,98412.0,1611
09/01/2024,201,Prospecting - Broad,790.5,137595.0,2081
09/02/2024,201,Prospecting - Broad,616.4,,1817
09/03/2024,201,Prospecting - Broad,728.24,101911.0,3455
09/04/2024,201,Prospecting - Broad,812.83,84873.0,2409
09/05/2024,201,Prospecting - Broad,892.5,135635.0,1387
09/06/2024,201,Prospecting - Broad,849.34,167423.0,4559
09/07/2024,201,Prospecting - Broad,710.48,81204.0,2103
09/08/2024,201,Prospecting - Broad,919.88,117100.0,3531
09/09/2024,201,Prospecting - Broad,789.48,127815.0,2187
09/10/2024,201,Prospecting - Broad,837.32,108699.0,3958
09/11/2024,201,Prospecting - Broad,636.34,118384.0,3008
09/12/2024,201,Prospecting - Broad,878.62,155136.0,4510
09/13/2024,201,Prospecting - Broad,605.59,66727.0,2017
09/14/2024,201,Prospecting - Broad,862.54,147278.0,3827
09/15/2024,201,Prospecting - Broad,608.37,66684.0,1777
09/16/2024,201,Prospecting - Broad,762.05,81044.0,2821
09/17/2024,201,Prospecting - Broad,528.23,68892.0,2258
09/18/2024,201,Prospecting - Broad,515.6,89385.0,2235
09/19/2024,201,Prospecting - Broad,565.79,107240.0,1554
09/20/2024,201,Prospecting - Broad,639.86,123822.0,2451
09/21/2024,201,Prospecting - Broad,908.11,154378.0,4019
09/22/2024,201,Prospecting - Broad,893.2,113969.0,3727
09/23/2024,201,Prospecting - Broad,558.38,94989.0,3175
09/24/2024,201,Prospecting - Broad,572.83,58461.0,685
09/25/2024,201,Prospecting - Broad,645.08,125129.0,1563
09/26/2024,201,Prospecting - Broad,532.84,76951.0,3041
09/27/2024,201,Prospecting - Broad,573.59,77434.0,1662
09/28/2024,201,Prospecting - Broad,496.8,98454.0,2103
09/29/2024,201,Prospecting - Broad,765.95,125762.0,2765
09/30/2024,201,Prospecting - Broad,579.15,110838.0,1937
10/01/2024,201,Prospecting - Broad,782.41,139178.0,2096
10/02/2024,201,Prospecting - Broad,762.27,78123.0,789
10/03/2024,201,Prospecting - Broad,709.9,71639.0,899
10/04/2024,201,Prospecting - Broad,746.36,139353.0,3794
10/05/2024,201,Prospecting - Broad,531.46,,3631
10/06/2024,201,Prospecting - Broad,917.02,142989.0,2451
10/07/2024,201,Prospecting - Broad,845.59,138724.0,5368
10/08/2024,201,Prospecting - Broad,608.67,121144.0,4344
10/09/2024,201,Prospecting - Broad,694.5,107080.0,3707
10/10/2024,201,Prospecting - Broad,789.11,151378.0,5614
10/11/2024,201,Prospecting - Broad,807.66,89330.0,1520
10/12/2024,201,Prospecting - Broad,554.81,84678.0,2990
10/13/2024,201,Prospecting - Broad,591.38,93533.0,1990
10/14/2024,201,Prospecting - Broad,722.45,129833.0,1898
10/15/2024,201,Prospecting - Broad,713.89,85507.0,3117
10/16/2024,201,Prospecting - Broad,737.25,74616.0,1587
10/17/2024,201,Prospecting - Broad,715.58,80768.0,2310
10/18/2024,201,Prospecting - Broad,561.21,76568.0,1940
10/19/2024,201,Prospecting - Broad,741.78,108900.0,2927
10/20/2024,201,Prospecting - Broad,850.35,146042.0,3606
10/21/2024,201,Prospecting - Broad,736.08,94449.0,1128
10/22/2024,201,Prospecting - Broad,515.03,102640.0,2907
10/23/2024,201,Prospecting - Broad,684.97,77722.0,2646
10/24/2024,201,Prospecting - Broad,545.16,105559.0,2479
10/25/2024,201,Prospecting - Broad,795.95,106061.0,1609
